,Fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,Fixed-broadband subscriptions per 100 inhabitants,,,,,,,,,,,,,,,,,,Metadata for fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,Notes 2000,Source 2000,Notes 2001,Source 2001,Notes 2002,Source 2002,Notes 2003,Source 2003,Notes 2004,Source 2004,Notes 2005,Source 2005,Notes 2006,Source 2006,Notes 2007,Source 2007,Notes 2008,Source 2008,Notes 2009,Source 2009,Notes 2010,Source 2010,Notes 2011,Source 2011,Notes 2012,Source 2012,Notes 2013,Source 2013,Notes 2014,Source 2014,Notes 2015,Source 2015,Notes 2016,Source 2016
Afghanistan,,,,,200,220,500,500,500,1'000,1'500,,1'500,1'500,1'500,7'067,8'801,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,0.01,0.00,0.00,0.02,0.03,,,,,,,,,,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,ITU estimate.,,ITU estimate.,,Ministry of Communications.,,ITU estimate.,,,,ITU estimate.,515 WIMAX+1500 DSL,ITU estimate.,,ITU estimate.,,Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT),,Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)
Albania,,,,,,272,,10'000,64'000,92'000,105'539,128'210,160'088,182'556,207'931,242'870,263'874,,,,,,,0.01,,0.32,2.03,2.92,3.35,4.07,5.06,5.75,6.53,7.60,8.23,,,,,,,,,,,,,ITU estimate.,,,,Ministry of Transport and Telecommunications.,,Ministry of Public Works Transport and Telcommunication. National Agency of Information Society. ,,Ministry of Transport and Telecommunications.,,Minister for Innovation and ICT,,Minister for Innovation and ICT,,National Agency on Information Society,,Ministry of Innovation and Public Administration/National Agency for Information Society,,Minister of State for the Innovation and Public Administration,,Minister of State for the Innovation and Public Administration,,Minister of State for the Innovation and Public Administration
Algeria,,,,18'000,36'000,135'000,170'000,287'039,485'000,818'000,900'000,980'752,1'154'748,1'280'000,1'599'692,2'269'348,2'858'906,,,,,0.05,0.11,0.40,0.49,0.82,1.36,2.25,2.43,2.60,3.00,3.26,4.01,5.58,6.92,,,,,,,,,ITU estimate.,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,,ITU estimate. ,,ITU estimate.,,Autorité de Régulation de la Poste et des Télécommunications,,Ministère de la Poste et des Technologies de l'Information et de la Communication,,,A few subscriptions between 128 and 256 kbps are still included.,,A few subscriptions between 128 and 256 kbps are still included.,Ministère de la Poste et des Technologies de l'Information et de la Communication,A few subscriptions between 128 and 256 kbps are still included.,Ministère de la  Poste et des Technologies de l'Information et de la Communication,,Ministère de la  Poste et des Technologies de l'Information et de la Communication
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,1'148,3'601,6'282,10'341,14'616,18'526,20'672,22'941,24'502,25'763,26'905,27'734,28'770,30'694,32'490,,,,1.60,4.76,7.95,12.73,17.85,22.79,25.85,29.17,31.45,33.09,34.34,35.01,35.89,37.92,39.82,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Servei de Telecomunicacions d'Andorra,,Servei de Telecomunicacions d'Andorra,,Servei de Telecomunicacions d'Andorra,,Servei de Telecomunicacions d'Andorra,,Servei de Telecomunicacions d'Andorra,,Andorra Telecom SAU,,Andorra Telecom SAU
Angola,,,,,,,7'458,11'700,15'942,15'000,15'000,15'817,20'512,22'282,67'750,153'571,123'135,,,,,,,,0.04,0.07,0.09,0.08,0.08,0.08,0.10,0.10,0.31,0.67,0.52,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate. ,,ITU estimate.,,ITU estimate.,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,Break in comparability. As of 2014 including fixed wireless.,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,,Angolan Institute of Communications,decrease due to companies that closed.,Angolan Institute of Communications
Anguilla,,1'229,1'391,1'648,1'456,2'218,2'839,3'300,3'653,3'753,3'789,3'947,4'100,4'300,4'400,5'000,,,,10.81,11.90,13.71,11.80,17.55,22.00,25.10,27.33,27.65,27.52,28.28,29.01,30.07,30.43,34.21,,,,,,Public Utilities Commission.,,Public Utilities Commission.,,Public Utilities Commission.,,Public Utilities Commission.,,Public Utilities Commission.,,Public Utilities Commission.,,"Ministry of Infrastructure, Communication & Utilities",,"Ministry of Infrastructure, Communication & Utilities",,Public Utilities Commission,,Public Utilities Commission,,public utilities commission,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,
Antigua & Barbuda,,,,,1'662,5'801,1'541,2'266,4'986,16'014,7'119,6'000,13'070,15'647,10'754,10'000,9'261,,,,,,2.03,7.03,1.85,2.68,5.84,18.56,8.16,6.81,14.67,17.39,11.83,10.89,9.99,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,"Telecom Divison/Ministry of Information, Broadcasting, Telecommunications, Science & Technology",,"Telecom Divison/Ministry of Information, Broadcasting, Telecommunications, Science & Technology",,"Telecom Divison/Ministry of Telecommunications, Science & Technology",,"Telecoms Divison/Ministry of Information, Broadcasting, Telecommunications, & Information Technology",,"Ministry of Information, Broadcasting, Telecommunications, and Information Technology",,ITU estimate.,,"Ministry of Information, Broadcasting, Telecommunications and Information Technology"
Argentina,,94'000,148'000,258'849,542'879,926'722,1'583'713,2'600'000,3'114'741,3'511'026,4'028'238,4'572'023,5'148'583,6'251'020,6'509'458,6'855'837,7'199'053,,,0.25,0.39,0.68,1.42,2.40,4.06,6.61,7.85,8.77,9.98,11.23,12.53,15.08,15.57,16.26,16.94,,,,,,,,,,,,,,,,,ITU estimate.,,Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Comunicaciones,,Comisión Nacional de Comunicaciones,,Comisión Nacional de Comunicaciones,,Comisión Nacional de Comunicaciones,,Comisión Nacional de Comunicaciones,Preliminary.,Ente Nacional de Comunicaciones,,Ente Nacional de Comunicaciones,,"Ente Nacional de Comunicaciones
"
