id	name	population	listed	female	male
ZWE	Zimbabwe	-3.70		14.6	18.3
ZMB	Zambia	Data not available		Data not available	Data not available
ZAF	South Africa	-7		Data not available	Data not available
YEM	Yemen	Data not available		Data not available	Data not available
VUT	Vanuatu	Data not available		Data not available	Data not available
VNM	Vietnam	-13		Data not available	Data not available
VEN	Venezuela	3.10		50.6	47.5
UZB	Uzbekistan	Data not available		Data not available	Data not available
USA	United States	0.70		74.9	74.2
URY	Uruguay	-0.70		64.2	64.9
UKR	Ukraine	-5.10		46.5	51.6
UGA	Uganda	-10		Data not available	Data not available
TZA	Tanzania	-13		Data not available	Data not available
TWN	Taiwan, Province of China	-1.10		79.2	80.3
TUR	Turkey	-18.40		49.2	67.6
TUN	Tunisia	Data not available		Data not available	Data not available
TTO	Trinidad and Tobago	Data not available		Data not available	Data not available
TLS	Timor-Leste	Data not available		Data not available	Data not available
TKM	Turkmenistan	Data not available		Data not available	Data not available
TJK	Tajikistan	Data not available		Data not available	Data not available
THA	Thailand	-1.10		47.0	48.1
TGO	Togo	Data not available		Data not available	Data not available
TCD	Chad	Data not available		Data not available	Data not available
SYR	Syria	Data not available		Data not available	Data not available
SWZ	Swaziland	Data not available		Data not available	Data not available
SWE	Sweden	-1.00		91.0	92.0
SVN	Slovenia	-2.80		74.1	76.9
SVK	Slovakia	-2.40		79.3	81.7
SUR	Suriname	Data not available		Data not available	Data not available
SRB	Serbia	-4.00		64.0	68.0
SOM	Somalia	Data not available		Data not available	Data not available
SLV	El Salvador	-2.60		25.6	28.2
SLE	Sierra Leone	Data not available		Data not available	Data not available
SLB	Solomon Islands	Data not available		Data not available	Data not available
SGP	Singapore	-2.90		77.6	80.5
SEN	Senegal	-7		Data not available	Data not available
SDS	South Sudan	Data not available		Data not available	Data not available
SDN	Sudan	-5.90		11.0	16.9
SAU	Saudi Arabia	-6.90		69.8	76.7
RWA	Rwanda	Data not available		Data not available	Data not available
RUS	Russian Federation	-1.50		75.7	77.2
ROU	Romania	-5.20		56.9	62.1
ROK	Korea (Rep.)	-3.80		90.8	94.6
QAT	Qatar	-2.40		91.7	94.1
PSE	West Bank	Data not available		Data not available	Data not available
PRY	Paraguay	0.80		48.8	48.0
PRT	Portugal	-3.00		69.0	72.0
PRK	Korea, North	Data not available		Data not available	Data not available
PRI	Puerto Rico	1.60		64.2	62.6
POL	Poland	-1.00		72.8	73.8
PNG	Papua New Guinea	Data not available		Data not available	Data not available
PHL	Philippines	Data not available		Data not available	Data not available
PER	Peru	-5.70		42.6	48.3
PAN	Panama	2.60		52.5	49.9
PAK	Pakistan	-8.00		11.7	19.7
OSA	Kosovo	Data not available		Data not available	Data not available
OMN	Oman	-11.40		59.80	71.20
NZL	New Zealand	1.00		82.2	81.2
NPL	Nepal	Data not available		Data not available	Data not available
NOR	Norway	0.20		97.4	97.2
NLD	Netherlands	-3.90		89.2	93.1
NIC	Nicaragua	Data not available		Data not available	Data not available
NGA	Nigeria	-19		Data not available	Data not available
NER	Niger	Data not available		Data not available	Data not available
NCL	New Caledonia	Data not available		Data not available	Data not available
NAM	Namibia	Data not available		Data not available	Data not available
MYS	Malaysia	-3.30		76.7	80.0
MWI	Malawi	Data not available		Data not available	Data not available
MRT	Mauritania	Data not available		Data not available	Data not available
